Normalized,Hymn Number,Meter,Original,Easy Fix
"Watts, I",1,C.M.,I. Watts,TRUE
"Watts, I",2,C.M.,I. Watts,TRUE
"Burnham, R",3,L.M.,R. BURNHAM,TRUE
"Watts, I",4,C.M.,I. Watts,TRUE
"Watts, I",5,C.M.,I. Watts,TRUE
"Beddome, B",6,L.M.,B. BEDDOME,TRUE
"Medley, S",7,C.M.,S. Medley,TRUE
"Beddome, B",8,L.M.,B. BEDDOME,TRUE
"Medley, S",9,L.M.,S. Medley,TRUE
"Kent, J",10,L.M.,J. Kent,TRUE
"Stocker, J",11,11S,J. STOCKER,TRUE
"Burnham, R",12,8S,R. BURNHAM,TRUE
"Hart, J",13,C.M.,J. Hart,TRUE
"Watts, I",14,C.M.,I. Watts,TRUE
"Needham, J",15,C.M.,I. WATTS & J. NEEDHAM,FALSE
"Watts, I",15,C.M.,I. WATTS & J. NEEDHAM,FALSE
"Burnham, R",16,C.M.,R. Burnham,TRUE
"Tucker, W",17,L.M.,W. Tucker,TRUE
"Watts, I",18,L.M.,I. Watts,TRUE
"Watts, I",19,C.M.,I. Watts,TRUE
"Watts, I",20,L.M.,I. Watts,TRUE
"Watts, I",21,L.M.,I. Watts,TRUE
"Watts, I",22,L.M.,I. Watts,TRUE
"Hart, J",23,C.M.,J. Hart,TRUE
"Watts, I",24,C.M.,I. Watts,TRUE
"Watts, I",25,C.M.,I. Watts,TRUE
"Watts, I",26,L.M.,I. Watts,TRUE
"Hart, J",27,S.M.,J. Hart,TRUE
"Hart, J",28,C.M.,J. Hart,TRUE
"Hart, J",29,8.8.6.,J. Hart,TRUE
"Hart, J",30,C.M.,J. Hart,TRUE
"Hart, J",31,C.M.,J. Hart,TRUE
"Hart, J",32,C.M.,J. Hart,TRUE
"Watts, I",33,L.M.,I. Watts,TRUE
"Hart, J",34,L.M.,J. Hart,TRUE
"Wesley, C",35,6.4.,C. Wesley,TRUE
"Wesley, C",36,7S,C. WESLEY,TRUE
"Wesley, C",37,148TH,C. Wesley,TRUE
"Watts, I",38,S.M.,I. Watts,TRUE
"Hart, J",39,C.M.,J. Hart,TRUE
"Hart, J",40,11S,J. Hart,TRUE
"Schlict, E L",41,11S,E. L. SCHLICT,TRUE
"Stennett, S",42,C.M.,S. STENNETT,TRUE
"Newton, J",43,8.7.4.,J. Newton,TRUE
"Maxwell, J",44,L.M.,J. Maxwell,TRUE
"Hart, J",45,C.M.,J. Hart,TRUE
"Watts, I",46,C.M.,I. Watts,TRUE
"Watts, I",47,L.M.,I. Watts,TRUE
"Watts, I",48,L.M.,I. Watts,TRUE
"Berridge, J",49,L.M.,J. BERRIDGE,TRUE
"Watts, I",50,S.M.,I. Watts,TRUE
"Stennett, S",51,C.M.,S. STENNETT,TRUE
"Gospel Mag., 1777",52,11S,"GOSPEL MAG., 1777",FALSE
"Watts, I",53,L.M.,I. Watts,TRUE
"Watts, I",54,C.M.,I. Watts,TRUE
"Humphreys, J",55,C.M.,J. HUMPHREYS,TRUE
"Watts, I",56,C.M.,I. Watts,TRUE
"Watts, I",57,L.M.,I. Watts,TRUE
"Watts, I",58,C.M.,I. Watts,TRUE
"Wesley, C",59,148TH,C. Wesley,TRUE
"Burnham, R",60,148TH,R. Burnham,TRUE
"Burnham, R",61,L.M.,R. Burnham,TRUE
"Clarke, W A",62,L.M.,W. A. CLARKE,TRUE
"Watts, I",63,C.M.,I. Watts,TRUE
"Ryland, J",64,7S,J. RYLAND,TRUE
"Tucker, W",65,L.M.,W. Tucker,TRUE
"Tucker, W",66,L.M.,W. Tucker,TRUE
"Adams, J",67,8.8.6.,J. Adams,TRUE
"Toplady, A M",68,11S IRREG.,A. M. Toplady,TRUE
"Gospel Mag., 1777",69,8.7.4.,"GOSPEL MAG., 1777",FALSE
"Wesley, C",70,S.M.,C. Wesley,TRUE
"Watts, I",71,C.M.,I. Watts,TRUE
"Watts, I",72,L.M.,I. Watts,TRUE
"Watts, I",73,L.M.,I. Watts,TRUE
"Watts, I",74,C.M.,I. Watts,TRUE
"Watts, I",75,L.M.,I. Watts,TRUE
"Kent, J",76,L.M.,J. Kent,TRUE
"Hart, J",77,7.5.,J. Hart,TRUE
"Tucker, W",78,L.M.,W. Tucker,TRUE
"Watts, I",79,S.M.,I. Watts,TRUE
"Humphreys, J",80,7S,J. HUMPHREYS,TRUE
"Berridge, J",81,S.M.,J. BERRIDGE,TRUE
"Wallin, B",82,L.M.,B. Wallin,TRUE
"Watts, I",83,L.M.,I. Watts,TRUE
"Doddridge, P",84,C.M.,P. DODDRIDGE,TRUE
"Watts, I",85,C.M.,I. Watts,TRUE
"Gospel Mag., 1778",86,S.M.,"GOSPEL MAG., 1778",FALSE
"Kent, J",87,148TH,J. Kent,TRUE
"Hart, J",88,L.M.,J. Hart,TRUE
"Hart, J",89,112TH,J. Hart,TRUE
"Langford, J",90,7S,J. LANGFORD,TRUE
"Newton, J",91,L.M.,J. Newton,TRUE
"Watts, I",92,L.M.,I. Watts,TRUE
"Evans, J",93,8.7.4.,J. Evans,TRUE
"Watts, I",94,C.M.,I. Watts,TRUE
"Steele, A",95,C.M.,A. Steele,TRUE
"Rothe, J A",96,112TH,J. A. ROTHE TRANSLATED BY J. WEEKS,FALSE
"Wesley, C",97,L.M.,C. Wesley,TRUE
"Wesley, C",98,7.6.8.,C. Wesley,TRUE
"Adams, J",99,7S,J. Adams,TRUE
"Watts, I",100,C.M.,I. Watts,TRUE
"Berridge, J",101,C.M.,J. Berridge,TRUE
"Hart, J",102,148TH,J. Hart,TRUE
"Zinzendorf, C",103,L.M.,COUNT ZINZENDORF TRANS. BY J. WEEKS,FALSE
"Hart, J",104,8.3.,J. Hart,TRUE
"Hart, J",105,C.M.,J. Hart,TRUE
"Hart, J",106,L.M.,J. Hart,TRUE
"Hart, J",107,C.M.,J. Hart,TRUE
"Hart, J",108,C.M.,J. Hart,TRUE
"Watts, I",109,C.M.,I. Watts,TRUE
"Watts, I",110,S.M.,I. Watts,TRUE
"Watts, I",111,C.M.,I. Watts,TRUE
"Watts, I",112,L.M.,I. Watts,TRUE
"Kent, J",113,L.M.,J. Kent,TRUE
"Berridge, J",114,S.M.,J. Berridge,TRUE
"Berridge, J",115,L.M.,J. Berridge,TRUE
"Bradford, J",116,7S,J. BRADFORD,TRUE
"Toplady, A M",117,C.M.,A. M. TOPLADY,TRUE
"Cennick, J",118,C.M.,J. Cennick,TRUE
"Newton, J",119,C.M.,J. Newton,TRUE
"Watts, I",120,C.M.,I. Watts,TRUE
"Watts, I",121,C.M.,I. Watts,TRUE
"Watts, I",122,148TH,I. Watts,TRUE
"Watts, I",123,L.M.,I. Watts,TRUE
"Watts, I",124,C.M.,I. Watts,TRUE
"Watts, I",125,S.M.,I. Watts,TRUE
"Watts, I",126,C.M.,I. Watts,TRUE
"Wesley, C",127,148TH,C. Wesley,TRUE
"Newton, J",128,C.M.,J. Newton,TRUE
"Hart, J",129,104TH,J. Hart,TRUE
"Hart, J",130,S.M.,J. Hart,TRUE
"Wesley, C",131,7.7.4.,C. Wesley,TRUE
"Swain, J",132,C.M.,J. Swain,TRUE
"Newton, J",133,8.7.7.,J. Newton,TRUE
"Brewer, J",134,L.M.,J. Brewer,TRUE
"Newton, J",135,C.M.,J. Newton,TRUE
"Steele, A",136,C.M.,A. Steele,TRUE
"Wesley, C",137,8.8.6.,C. WESLEY (LAST VERSE UNKNOWN),FALSE
"Doddridge, P",138,C.M.,P. DODDRIDGE,TRUE
"Watts, I",139,C.M.,I. Watts,TRUE
"Watts, I",140,S.M.,I. Watts,TRUE
"Watts, I",141,C.M.,I. Watts,TRUE
"Watts, I",142,L.M.,I. Watts,TRUE
"Toplady, A M",143,7S,A. M. TOPLADY,TRUE
"Cennick, J",144,L.M.,J. Cennick,TRUE
"Kent, J",145,7S,J. Kent,TRUE
"Berridge, J",146,148TH,J. Berridge,TRUE
"Berridge, J",147,7S,J. BERRIDGE,TRUE
"Berridge, J",148,8.8.6.,J. Berridge,TRUE
"Berridge, J",149,8.8.6.,J. Berridge,TRUE
"Berridge, J",150,104TH,J. Berridge,TRUE
"Hart, J",151,C.M.,J. Hart,TRUE
"Hart, J",152,S.M.,J. Hart,TRUE
"Hart, J",153,L.M.,J. Hart,TRUE
"Hart, J",154,7S,J. Hart,TRUE
"Hart, J",155,104TH,J. Hart,TRUE
"Hart, J",156,C.M.,J. Hart,TRUE
"Burnham, R",157,8.7.,R. Burnham,TRUE
"Allen, J",158,8.7.,J. ALLEN & W. SHIRLEY,FALSE
"Shirley, W",158,8.7.,J. ALLEN & W. SHIRLEY,FALSE
"Swain, J",159,8S,J. Swain,TRUE
"Cowper, W",160,C.M.,W. Cowper,TRUE
"Wesley, C",161,11S,C. Wesley,TRUE
"Swain, J",162,8S,J. Swain,TRUE
"Cennick, J",163,8.8.6.,J. Cennick,TRUE
"Watts, I",164,L.M.,I. Watts,TRUE
"Watts, I",165,C.M.,I. Watts,TRUE
"Watts, I",166,L.M.,I. Watts,TRUE
"Watts, I",167,S.M.,I. Watts,TRUE
"Watts, I",168,C.M.,I. Watts,TRUE
"Berridge, J",169,C.M.,J. Berridge,TRUE
"Berridge, J",170,7S,J. BERRIDGE,TRUE
"Medley, S",171,L.M.,S. Medley,TRUE
"Medley, S",172,L.M.,S. Medley,TRUE
"Medley, S",173,L.M.,S. Medley,TRUE
"Medley, S",174,L.M.,S. Medley,TRUE
"Adams, J",175,L.M.,J. Adams,TRUE
"Medley, S",176,C.M.,S. Medley,TRUE
"Berridge, J",177,7S,J. BERRIDGE,TRUE
"Berridge, J",178,8.8.6.,J. Berridge,TRUE
"Hart, J",179,7S,J. Hart,TRUE
"Hart, J",180,8.7.,J. Hart,TRUE
"Hart, J",181,C.M.,J. Hart,TRUE
"Hart, J",182,112TH,J. Hart,TRUE
"Kent, J",183,8S,J. Kent,TRUE
"Fawcett, J",184,104TH,J. Fawcett,TRUE
"Watts, I",185,S.M.,I. Watts,TRUE
"Watts, I",186,C.M.,I. Watts,TRUE
"Burnham, R",187,7S,R. BURNHAM,TRUE
"Cowper, W",188,C.M.,W. Cowper,TRUE
Rozzell,189,C.M.,Rozzell,FALSE
"Watts, I",190,C.M.,I. Watts,TRUE
"Burnham, R",191,C.M.,R. Burnham,TRUE
"Watts, I",192,C.M.,I. Watts,TRUE
"Newton, J",193,C.M.,J. Newton,TRUE
"Wallin, B",194,C.M.,B. Wallin,TRUE
"Medley, S",195,L.M.,S. Medley,TRUE
"Newton, J",196,S.M.,J. Newton,TRUE
"Toplady, A M",197,104TH,A. M. TOPLADY,TRUE
"Newton, J",198,C.M.,J. Newton,TRUE
"Robinson, R",199,8.7.,R. Robinson,TRUE
"Paice, H",200,L.M.,"H. PAICE, 1798",FALSE
"Doddridge, P",201,S.M.,P. DODDRIDGE,TRUE
"Newton, J",202,C.M.,J. Newton,TRUE
"Burnham, R",203,S.M.,R. Burnham,TRUE
"A. C. R., 1790",204,L.M.,"A. C. R., 1790",FALSE
"Adams, J",205,8.7.4.,J. Adams,TRUE
"Gospel Mag., 1777",206,C.M.,"GOSPEL MAG., 1777",FALSE
"Watts, I",207,C.M.,I. Watts,TRUE
"Adams, J",208,8.7.4.,J. Adams,TRUE
"Greene, T",209,C.M.,T. Greene,TRUE
"Watts, I",210,S.M.,I. Watts,TRUE
"Watts, I",211,L.M.,I. Watts,TRUE
"Watts, I",212,C.M.,I. Watts,TRUE
"Watts, I",213,C.M.,I. Watts,TRUE
Anonymous,214,148TH,(AUTHOR UNKNOWN),FALSE
"Dracup, J",215,C.M.,J. Dracup,TRUE
"Stevens, J",216,8.8.6.,J. Stevens,TRUE
"Kent, J",217,8.8.6.,J. Kent,TRUE
"Hart, J",218,C.M.,J. Hart,TRUE
"Hart, J",219,S.M.,J. Hart,TRUE
"Hart, J",220,8S,J. Hart,TRUE
"Hart, J",221,104TH,J. Hart,TRUE
"Hart, J",222,C.M.,J. Hart,TRUE
"Hart, J",223,8.8.6.,J. Hart,TRUE
"Stevens, J",224,L.M.,J. Stevens,TRUE
"Beddome, B",225,S.M.,B. Beddome,TRUE
"Watts, I",226,C.M.,I. Watts,TRUE
"Toplady, A M",227,8.8.6.,A. M. Toplady,TRUE
"Stevens, J",228,C.M.,J. Stevens,TRUE
"Wesley, C",229,104TH,C. Wesley,TRUE
"Greene, T",230,C.M.,T. Greene,TRUE
"Watts, I",231,L.M.,I. Watts,TRUE
"Newton, J",232,104TH,J. Newton,TRUE
"Hart, J",233,8S,J. Hart,TRUE
"Hart, J",234,8.6.8.,J. Hart,TRUE
"Hart, J",235,7.7.4.,J. Hart,TRUE
"Hart, J",236,S.M.,J. Hart,TRUE
"Hart, J",237,8.7.,J. Hart,TRUE
"Fawcett, J",238,L.M.,J. Fawcett,TRUE
"Stevens, J",239,11S,J. Stevens,TRUE
"Hart, J",240,C.M.,J. Hart,TRUE
"Hart, J",241,C.M.,J. Hart,TRUE
"Stevens, J",242,8.8.6.,J. Stevens,TRUE
"Stevens, J",243,11S,J. Stevens,TRUE
"Burnham, R",244,C.M.,R. Burnham,TRUE
"Gospel Mag., 1799",245,L.M.,"GOSPEL MAG., 1799",FALSE
"Francis, B",246,8S,B. FRANCIS,TRUE
"Ryland, J",247,C.M.,J. Ryland,TRUE
